circuit_code,hour,scen,losses
99,19,7,8.027692468008022e-5
99,19,8,0.006582708669146397
99,19,9,2.7024169766776407e-7
99,19,10,0.0005475092115599348
99,20,1,8.027690367024043e-5
99,20,2,0.005250832995649967
99,20,3,0.003956195482142991
99,20,4,0.00397725946208086
99,20,5,0.004072038884460938
99,20,6,0.004248359445783594
99,20,7,0.005346862366446918
99,20,8,8.027690748069e-5
99,20,9,0.004169051667933833
99,20,10,0.006297136055135369
99,21,1,5.145282815134104e-5
99,21,2,1.036649333872613e-5
99,21,3,1.7517796254519085e-5
99,21,4,5.6320289337784464e-8
99,21,5,1.0999534143978665e-7
99,21,6,0.0008604003236503485
99,21,7,0.000827298081790544
99,21,8,0.005082087042802894
99,21,9,8.027691073317506e-5
99,21,10,8.027806926305703e-5
99,22,1,9.964740545262559e-5
99,22,2,0.002689495248732314
99,22,3,4.1641397873943234e-5
99,22,4,8.601308423555986e-6
99,22,5,1.0757993030012849e-5
99,22,6,0.0008867575562602186
99,22,7,0.0008430205169555543
99,22,8,8.02769234969828e-5
99,22,9,6.13630483080062e-5
99,22,10,0.0035768672028559387
99,23,1,8.027691826842182e-5
99,23,2,8.027692594540663e-5
99,23,3,5.651497860979284e-6
99,23,4,2.560975795599539e-6
99,23,5,2.4024009929674103e-5
99,23,6,0.0004461807346011257
99,23,7,3.235794862583405e-5
99,23,8,0.004887709856869429
99,23,9,4.257334301302768e-5
99,23,10,0.0010691861276801464
99,24,1,0.007736138144893657
99,24,2,0.002854612654271984
99,24,3,0.001662533640380526
99,24,4,0.00696394365735122
99,24,5,0.0031763556776343333
99,24,6,0.003474804871408651
99,24,7,0.003078526022129225
99,24,8,8.027692139923684e-5
99,24,9,0.006889008792345294
99,24,10,0.003238206964222291
100,1,1,6.796447335336643e-6
100,1,2,6.79647581634205e-6
100,1,3,6.79644820249536e-6
100,1,4,6.796452995743554e-6
100,1,5,6.796452508937199e-6
100,1,6,6.79645269145519e-6
100,1,7,6.796454861578403e-6
100,1,8,0.00588619754591332
100,1,9,6.796443599958146e-6
100,1,10,6.796543359751829e-6
100,2,1,6.796447327441651e-6
100,2,2,6.7964757410710085e-6
100,2,3,6.796454329297124e-6
100,2,4,6.796454105346683e-6
100,2,5,6.796446558210929e-6
100,2,6,6.79644614668086e-6
